ID,SeasonCode,ProductCode,CycleCode,CountryCode,Biz_unit_Code,CatCode,SubCatCode,UnitBaseCode,GenderCode,GroupCode,ColourCode,First_Sale_Date,PVP,Dist_phase,Units_Sold,Stock
5268F319,SeasonA_Y2,Product77,Cycle2,Country1,Biz_unit4,Cat13,SubCat68,UnitBase312,Gender3,Group8,Colour8,20150521,1.00,0,0,181,0
5268F521,SeasonA_Y2,Product77,Cycle2,Country1,Biz_unit4,Cat13,SubCat68,UnitBase312,Gender1,Group8,Colour2,20150315,1.00,0,5,23,0
5268F925,SeasonA_Y2,Product77,Cycle2,Country1,Biz_unit4,Cat13,SubCat68,UnitBase312,Gender3,Group8,Colour8,20150312,1.00,0,86,59,0
52690B43,SeasonA_Y2,Product77,Cycle2,Country1,Biz_unit4,Cat13,SubCat68,UnitBase312,Gender3,Group8,Colour2,20150329,1.00,14,9,54,0
52691149,SeasonA_Y2,Product77,Cycle2,Country1,Biz_unit4,Cat13,SubCat68,UnitBase312,Gender3,Group8,Colour8,20150531,1.00,0,0,68,0
52691351,SeasonA_Y2,Product77,Cycle2,Country1,Biz_unit4,Cat13,SubCat68,UnitBase312,Gender3,Group8,Colour2,20150414,1.00,0,0,34,0
52691957,SeasonA_Y2,Product77,Cycle2,Country1,Biz_unit4,Cat13,SubCat68,UnitBase312,Gender1,Group8,Colour13,20150312,1.00,0,249,334,0
52691B59,SeasonA_Y2,Product77,Cycle2,Country1,Biz_unit4,Cat13,SubCat68,UnitBase312,Gender1,Group8,Colour13,20150314,1.00,0,45,58,0
52692165,SeasonA_Y2,Product77,Cycle2,Country1,Biz_unit4,Cat13,SubCat68,UnitBase385,Gender3,Group8,Colour10,20150321,1.00,6,7,32,0
52692569,SeasonA_Y2,Product77,Cycle2,Country1,Biz_unit4,Cat13,SubCat68,UnitBase385,Gender1,Group8,Colour2,20150313,1.00,0,147,35,0
52692B75,SeasonA_Y2,Product77,Cycle2,Country1,Biz_unit4,Cat13,SubCat68,UnitBase385,Gender3,Group8,Colour13,20150312,1.00,0,71,205,0
52692D77,SeasonA_Y2,Product77,Cycle2,Country1,Biz_unit4,Cat13,SubCat68,UnitBase385,Gender3,Group8,Colour2,20150316,1.00,1,7,194,0
52693989,SeasonA_Y2,Product77,Cycle2,Country1,Biz_unit4,Cat13,SubCat68,UnitBase386,Gender1,Group8,Colour8,20150312,1.50,0,7,63,0
52693D93,SeasonA_Y2,Product77,Cycle2,Country1,Biz_unit4,Cat13,SubCat68,UnitBase386,Gender1,Group8,Colour5,20150411,1.50,6,3,123,0
52695F27,SeasonA_Y2,Product77,Cycle2,Country1,Biz_unit4,Cat13,SubCat68,UnitBase313,Gender3,Group8,Colour2,20150312,2.00,0,45,130,0
52696331,SeasonA_Y2,Product77,Cycle2,Country1,Biz_unit4,Cat13,SubCat68,UnitBase313,Gender1,Group8,Colour3,20150313,2.00,0,29,34,0
52696533,SeasonA_Y2,Product77,Cycle2,Country1,Biz_unit4,Cat13,SubCat68,UnitBase313,Gender1,Group8,Colour13,20150312,2.00,0,66,31,0
52697B55,SeasonA_Y2,Product77,Cycle2,Country1,Biz_unit4,Cat13,SubCat68,UnitBase313,Gender1,Group8,Colour8,20150312,2.00,0,96,33,0
52697D57,SeasonA_Y2,Product77,Cycle2,Country1,Biz_unit4,Cat13,SubCat68,UnitBase313,Gender1,Group8,Colour2,20150312,1.50,0,83,183,0
52698D73,SeasonA_Y2,Product75,Cycle2,Country1,Biz_unit4,Cat13,SubCat68,UnitBase387,Gender1,Group8,Colour8,20150314,2.00,0,13,121,0
52699379,SeasonA_Y2,Product77,Cycle2,Country1,Biz_unit4,Cat13,SubCat68,UnitBase312,Gender1,Group8,Colour2,20150312,1.00,0,56,58,0
52699C88,SeasonA_Y2,Product77,Cycle2,Country1,Biz_unit4,Cat13,SubCat68,UnitBase312,Gender3,Group8,Colour13,20150328,1.00,0,0,28,0
549CB945,SeasonB_Y2,Product26,Cycle2,Country1,Biz_unit4,Cat10,SubCat9,UnitBase165,Gender2,Group2,Colour2,20151114,11.50,6,13,116,0
54A7AE50,SeasonB_Y2,Product26,Cycle2,Country1,Biz_unit4,Cat10,SubCat9,UnitBase165,Gender2,Group2,Colour7,20151023,10.00,5,46,175,0
54E69452,SeasonB_Y2,Product77,Cycle2,Country1,Biz_unit4,Cat13,SubCat68,UnitBase385,Gender3,Group2,Colour13,20151030,0.50,0,121,150,0
55B34755,SeasonA_Y3,Product21,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase270,Gender1,Group2,Colour14,20160104,9.00,4,35,90,0
55B34B59,SeasonA_Y3,Product21,Cycle2,Country1,Biz_unit4,Cat10,SubCat12,UnitBase157,Gender1,Group2,Colour14,20151229,9.00,2,31,167,0
55B35872,SeasonA_Y3,Product21,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase270,Gender1,Group2,Colour8,20160205,9.00,5,45,31,0
55B36181,SeasonA_Y3,Product21,Cycle2,Country1,Biz_unit4,Cat10,SubCat12,UnitBase157,Gender1,Group2,Colour8,20160204,9.00,4,16,78,0
55B36E94,SeasonA_Y3,Product21,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase270,Gender1,Group2,Colour2,20151218,9.00,0,76,84,0
55B37703,SeasonA_Y3,Product69,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase319,Gender1,Group2,Colour9,20151218,14.00,0,147,196,0
55B37E10,SeasonA_Y3,Product38,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase197,Gender1,Group2,Colour8,20160303,9.00,4,15,37,0
55B4AD13,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit4,Cat10,SubCat9,UnitBase165,Gender2,Group2,Colour9,20151230,13.00,3,44,243,0
55B50096,SeasonA_Y3,Product69,Cycle2,Country1,Biz_unit4,Cat10,SubCat12,UnitBase274,Gender1,Group2,Colour2,20151218,9.00,0,43,459,1
55B5F339,SeasonA_Y3,Product21,Cycle2,Country1,Biz_unit4,Cat10,SubCat12,UnitBase157,Gender1,Group10,Colour8,20151229,4.00,0,36,265,0
55B60759,SeasonA_Y3,Product21,Cycle2,Country1,Biz_unit4,Cat10,SubCat12,UnitBase157,Gender1,Group10,Colour2,20151230,4.00,0,117,64,0
55B60E66,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit3,Cat11,SubCat28,UnitBase160,Gender2,Group2,Colour2,20160104,8.00,8,35,242,0
55B61B79,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit4,Cat10,SubCat9,UnitBase165,Gender2,Group2,Colour2,20160102,8.00,6,49,307,0
55B62892,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit4,Cat10,SubCat9,UnitBase165,Gender2,Group2,Colour2,20151218,8.00,0,78,72,0
55B63505,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit4,Cat10,SubCat9,UnitBase165,Gender2,Group2,Colour5,20160116,8.00,20,7,221,0
55B6DF75,SeasonA_Y3,Product69,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase319,Gender1,Group2,Colour7,20151218,13.00,0,78,152,0
55B6E581,SeasonA_Y3,Product38,Cycle2,Country1,Biz_unit4,Cat10,SubCat12,UnitBase195,Gender1,Group2,Colour8,20160317,9.00,4,6,6,0
55B6F395,SeasonA_Y3,Product38,Cycle2,Country1,Biz_unit4,Cat10,SubCat12,UnitBase195,Gender1,Group2,Colour14,20160302,10.00,3,13,102,0
55B81585,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit3,Cat11,SubCat28,UnitBase283,Gender2,Group2,Colour2,20160201,10.00,1,57,157,0
55B82400,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit3,Cat11,SubCat28,UnitBase160,Gender2,Group2,Colour1,20160116,10.00,0,9,157,0
